employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Red Dog Media,4.5,Information Technology,Internet & Web Services,2008,Unknown / Non-Applicable,Senior Data Scientist,"Henderson, NV",200K,200K,"$200,000",/yr (Employer est.)
HvacDirect.com,4.0,,,,,Sr. Data Analyst,"Troy, OH",50K,80K,"$65,000",/yr (Employer est.)
Parsons,4.0,Information Technology,Information Technology Support Services,1944,$1 to $5 billion (USD),Data Scientist,Remote,100K,176K,"$138,050",/yr (Employer est.)
Pivotal,4.4,Information Technology,Enterprise Software & Network Solutions,1998,$10+ billion (USD),Senior AI Data Scientist,"San Francisco, CA",170K,240K,"$205,000",/yr (Employer est.)
MOMENTUM,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Tysons Corner, VA",110K,210K,"$160,000",/yr (Employer est.)
DHL,3.8,Transportation & Logistics,Shipping & Trucking,1969,$10+ billion (USD),Sr Business Data Analyst,"Westerville, OH",75K,106K,"$89,273",/yr (Glassdoor est.)
CertiK,3.1,,,2017,$5 to $25 million (USD),Senior Business Data Analyst,"New York, NY",136K,140K,"$138,000",/yr (Employer est.)
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Data Scientist I,Remote,80K,92K,"$86,000",/yr (Employer est.)
Belay Technologies,4.7,Information Technology,Information Technology Support Services,2008,Unknown / Non-Applicable,Mid Data Scientist,"Annapolis Junction, MD",90K,127K,"$106,615",/yr (Glassdoor est.)
Capital Group Companies,4.1,Financial Services,Investment & Asset Management,1931,$1 to $5 billion (USD),Data Scientist,"Los Angeles, CA",117K,187K,"$152,066",/yr (Employer est.)
Axiom Consultants,5.0,,,,Unknown / Non-Applicable,Data Assimilation Scientist - Hurricane,"College Park, MD",88K,121K,"$103,135",/yr (Glassdoor est.)
Datasync Techonlogies Inc,4.9,Information Technology,Information Technology Support Services,2003,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106K,139K,"$121,278",/yr (Glassdoor est.)
