employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Oak Street Health,3.7,Healthcare,Health Care Services & Hospitals,2012,Unknown / Non-Applicable,Data Scientist - Decision Science,"Chicago, IL",93K,131K,"$110,585",/yr (Glassdoor est.)
NIMIR Corporation,5.0,,,,,Sr. Data Scientist,"Washington, DC",80.00,80.00,$80.00,/hr (Employer est.)
ID.me,3.1,Information Technology,Internet & Web Services,2010,Unknown / Non-Applicable,Senior Data Analyst,"McLean, VA",107K,141K,"$123,962",/yr (Employer est.)
360 IT Professionals,2.4,Human Resources & Staffing,HR Consulting,,$1 to $5 million (USD),"Data Scientist_Juno beach FL_Statistical_RF, SVM, LR, time-series exp)_w2","Juno Beach, FL",66K,107K,"$84,271",/yr (Glassdoor est.)
"Akina, Inc.",3.7,,,,Unknown / Non-Applicable,Data Scientist - 2,"Annapolis Junction, MD",165K,165K,"$165,000",/yr (Employer est.)
Asana,4.2,Information Technology,Enterprise Software & Network Solutions,2008,Unknown / Non-Applicable,"Data Scientist, Marketing","San Francisco, CA",171K,258K,"$214,500",/yr (Employer est.)
"US News & World Report ,L.P.",2.6,Media & Communication,Publishing,1933,$100 to $500 million (USD),Data Scientist,"Washington, DC",101K,145K,"$121,010",/yr (Glassdoor est.)
WILLIAM C BROWN INC (WCBinc),3.9,Information Technology,Information Technology Support Services,,$1 to $5 million (USD),Data Scientist,"Springfield, VA",78K,122K,"$97,269",/yr (Glassdoor est.)
Footprint,3.2,Manufacturing,Consumer Product Manufacturing,2014,Unknown / Non-Applicable,Statistician / Data Scientist,"Gilbert, AZ",79K,130K,"$104,500",/yr (Employer est.)
Globalstar Inc.,3.6,Telecommunications,"Cable, Internet & Telephone Providers",2003,$25 to $100 million (USD),Data Scientist,"Covington, LA",83K,112K,"$96,459",/yr (Glassdoor est.)
FocusKPI Inc.,3.2,Media & Communication,Advertising & Public Relations,,Less than $1 million (USD),Data Scientist,"Boston, MA",6K,8K,"$7,000",/mo (Employer est.)
2HB Incorporated,5.0,Information Technology,Computer Hardware Development,1994,$1 to $5 million (USD),Data Scientist,"Annapolis Junction, MD",71K,106K,"$86,860",/yr (Glassdoor est.)
Honovee,4.0,,,,,Data Scientist,United States,100K,115K,"$107,500",/yr (Employer est.)
"Avant, LLC",3.2,Financial Services,Banking & Lending,2012,Unknown / Non-Applicable,"Sr Associate, Data Scientist","Chicago, IL",101K,148K,"$122,087",/yr (Glassdoor est.)
Home Depot / THD,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,1978,$10+ billion (USD),Associate Data Scientist,"Atlanta, GA",77K,106K,"$90,484",/yr (Glassdoor est.)
National Funding,4.1,Financial Services,Banking & Lending,1999,Unknown / Non-Applicable,"Data Scientist (Temp, Possible Temp-to-Hire)","San Diego, CA",50.00,65.00,$57.50,/hr (Employer est.)
Veracity Software,4.2,Information Technology,Information Technology Support Services,2010,Unknown / Non-Applicable,Jr Data Scientist,"Iselin, NJ",76K,109K,"$91,391",/yr (Glassdoor est.)
Global InfoTek Inc,3.9,Information Technology,Information Technology Support Services,,$25 to $100 million (USD),Data Scientist - SME 0010IS - 1511,"Reston, VA",75K,108K,"$89,850",/yr (Glassdoor est.)
Digital Turbine,3.4,Information Technology,Computer Hardware Development,1998,$1 to $5 billion (USD),Sr Business Data Analyst,"Austin, TX",79K,114K,"$95,019",/yr (Glassdoor est.)
Elder Research Inc,4.4,Management & Consulting,Business Consulting,1995,$5 to $25 million (USD),Senior Data Scientist,"Arlington, VA",138K,177K,"$156,161",/yr (Glassdoor est.)
Honda,4.0,Manufacturing,Transportation Equipment Manufacturing,1948,Unknown / Non-Applicable,Data Scientist,"Marysville, OH",54K,80K,"$66,950",/yr (Employer est.)
Skyworks,3.6,Manufacturing,Electronics Manufacturing,1962,$1 to $5 billion (USD),Data Scientist Summer/Fall Co-Op,"Newbury Park, CA",26.00,47.50,$36.75,/hr (Employer est.)
Intellibus,4.6,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable,Lead AI Technical Consultant,"Silver Spring, MD",97K,136K,"$114,847",/yr (Glassdoor est.)
Bilin Technology,3.8,,,,Unknown / Non-Applicable,Data Scientist,"Boston, MA",92K,143K,"$114,596",/yr (Glassdoor est.)
tellus solutions,4.0,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD),Data Scientist II- ML/DM,"North Chicago, IL",60.00,62.44,$61.22,/hr (Employer est.)
"The Center For Organizational Excellence, Inc",3.8,Management & Consulting,Business Consulting,1984,$5 to $25 million (USD),Data Scientist,"Rockville, MD",89K,129K,"$107,008",/yr (Glassdoor est.)
Tencent,4.0,Information Technology,Internet & Web Services,1998,Unknown / Non-Applicable,Data Scientist Associate,"Palo Alto, CA",72K,144K,"$108,230",/yr (Employer est.)
"Compass, Inc.",3.8,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist #1983,"Springfield, VA",85K,130K,"$105,339",/yr (Glassdoor est.)
AmeriTEK Global,5.0,,,2017,$5 to $25 million (USD),Data Scientist,"Piscataway, NJ",73K,108K,"$89,084",/yr (Glassdoor est.)
WSP,3.7,,,,$5 to $25 million (USD),Early Career Data Scientist/SQL GIS Developer,"Baltimore, MD",84K,120K,"$100,407",/yr (Glassdoor est.)
Koddi,3.8,Information Technology,Internet & Web Services,2013,Unknown / Non-Applicable,Data Scientist,"Fort Worth, TX",115K,148K,"$130,233",/yr (Glassdoor est.)
Finrise,3.8,Information Technology,Internet & Web Services,2015,Unknown / Non-Applicable,Data Scientist,"Burlingame, CA",124K,169K,"$145,008",/yr (Glassdoor est.)
ON24,3.3,Information Technology,Computer Hardware Development,1998,$100 to $500 million (USD),Entry-Level Data Scientist,Remote,95K,115K,"$105,000",/yr (Employer est.)
Key Cyber Solutions,3.0,,,,Unknown / Non-Applicable,Data Scientist,"Richmond, VA",80K,114K,"$95,488",/yr (Glassdoor est.)
ShyftLabs,3.8,Management & Consulting,Business Consulting,2020,Unknown / Non-Applicable,Data Scientist,"Denver, CO",92K,136K,"$111,962",/yr (Glassdoor est.)
QxBranch,3.0,Information Technology,Enterprise Software & Network Solutions,2014,$1 to $5 million (USD),Data Scientist QxBranch,"Washington, DC",67K,110K,"$85,689",/yr (Glassdoor est.)
Hanwha Q Cells,3.0,"Energy, Mining & Utilities",Energy & Utilities,1999,$1 to $5 billion (USD),Sr. Data Analyst,"Cartersville, GA",68K,104K,"$84,339",/yr (Glassdoor est.)
Fuse Engineering LLC,5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",91K,129K,"$108,527",/yr (Glassdoor est.)
HunaTek Government Solutions,4.6,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Lead Data Scientist/ Data Analyst,"Quantico, VA",94K,125K,"$108,123",/yr (Glassdoor est.)
Romph & Pou Agency,3.7,Media & Communication,Advertising & Public Relations,1981,Unknown / Non-Applicable,Data Scientist,"Shreveport, LA",77K,122K,"$96,980",/yr (Glassdoor est.)
UCLA,4.2,Education,Colleges & Universities,1919,$500 million to $1 billion (USD),Statistician,"Los Angeles, CA",7K,15K,"$10,575",/mo (Employer est.)
"Stefanini, Inc",3.8,Information Technology,Enterprise Software & Network Solutions,1987,$1 to $5 billion (USD),Data Scientist,"Hagerstown, MD",60.00,66.50,$63.25,/hr (Employer est.)
Realtor.com Careers,3.4,Information Technology,Computer Hardware Development,1993,Unknown / Non-Applicable,"Senior Data Scientist, Product Analytics","Austin, TX",99K,142K,"$118,544",/yr (Glassdoor est.)
ETN,3.6,,,1991,$5 to $25 million (USD),Jr. Data Scientist,Remote,65K,65K,"$65,000",/yr (Employer est.)
CertiK,3.1,,,2017,$5 to $25 million (USD),Senior Business Data Analyst,"New York, NY",136K,140K,"$138,000",/yr (Employer est.)
SPS COMMERCE,4.2,Information Technology,Computer Hardware Development,1982,$100 to $500 million (USD),Software Engineer - AI,"Minneapolis, MN",94K,124K,"$107,953",/yr (Glassdoor est.)
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),Applied Scientist,"Seattle, WA",136K,136K,"$136,000",/yr (Employer est.)
Bastion Technologies,4.4,Aerospace & Defense,Aerospace & Defense,1998,$25 to $100 million (USD),Orion Navigation Data Scientist,"Houston, TX",88K,138K,"$110,211",/yr (Glassdoor est.)
Allstate,3.4,Insurance,Insurance Agencies & Brokerages,1931,$10+ billion (USD),Apprentice Program - Data Science,"Chicago, IL",20.00,28.00,$24.00,/hr (Employer est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),"Generative AI and ML Engineer, Lead","Bethesda, MD",106K,242K,"$174,100",/yr (Employer est.)
Arcetyp LLC,4.1,,,,Unknown / Non-Applicable,"Statistician/Economist, U.S. Govt Office-Office of Civil Rights (Telework or Hybrid)","Washington, DC",50K,77K,"$62,002",/yr (Glassdoor est.)
Pacific Northwest National Laboratory,4.1,"Energy, Mining & Utilities",Energy & Utilities,1965,$1 to $5 billion (USD),Data Scientist - Robotics,"Richland, WA",88K,128K,"$106,306",/yr (Glassdoor est.)
Rios Partners LLC,3.1,Management & Consulting,Business Consulting,2016,Unknown / Non-Applicable,Artificial Intelligence (AI) Strategist,"Arlington, VA",78K,132K,"$101,287",/yr (Glassdoor est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Artificial Intelligence Subject Matter Expert,"Fort Meade, MD",97K,150K,"$120,908",/yr (Glassdoor est.)
Slalom Consulting,4.0,Management & Consulting,Business Consulting,2001,$1 to $5 billion (USD),Data Engineer,"Austin, TX",107K,142K,"$122,958",/yr (Glassdoor est.)
care.ai,3.6,,,,,AI Engineer,"Orlando, FL",75K,109K,"$92,043",/yr (Employer est.)
Mary Kay Inc,4.1,Manufacturing,Consumer Product Manufacturing,1963,$1 to $5 billion (USD),Senior Data Analyst,"Dallas, TX",82K,112K,"$95,867",/yr (Glassdoor est.)
University of Kentucky,4.0,Education,Colleges & Universities,1865,$1 to $5 billion (USD),Data Scientist I,"Lexington, KY",51K,85K,"$68,221",/yr (Employer est.)
Maxar Technologies,3.3,Aerospace & Defense,Aerospace & Defense,,$1 to $5 million (USD),Data Scientist,"Herndon, VA",108K,180K,"$144,000",/yr (Employer est.)
BlueTriton Brands,3.5,Manufacturing,Food & Beverage Manufacturing,1986,$1 to $5 billion (USD),Senior Data Analyst,"Stamford, CT",81K,114K,"$96,181",/yr (Glassdoor est.)
PayPal,3.9,Information Technology,Internet & Web Services,1998,$10+ billion (USD),Data Scientist,"Austin, TX",118K,147K,"$131,640",/yr (Glassdoor est.)
"Medpace, Inc.",3.4,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1992,$1 to $5 billion (USD),Director of AI Strategy,"Cincinnati, OH",125K,196K,"$156,384",/yr (Glassdoor est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Data Scientist,"Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
Southwest Airlines,4.1,Transportation & Logistics,"Airlines, Airports & Air Transportation",1967,$10+ billion (USD),Solutions Architect - Artificial Intelligence,"Dallas, TX",159K,159K,"$158,950",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Machine Learning Scientist - NLP - Sr. Associate,"New York, NY",128K,195K,"$161,625",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"(USA) Senior, Data Scientist","Bentonville, AR",88K,127K,"$105,463",/yr (Glassdoor est.)
Mayvin Inc,4.7,Management & Consulting,Business Consulting,2008,Unknown / Non-Applicable,Data Scientist,"Arlington, VA",90K,100K,"$95,000",/yr (Employer est.)
Merck Sharp & Dohme,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891,$10+ billion (USD),"Specialist, Data Science","Rahway, NJ",101K,159K,"$130,100",/yr (Employer est.)
Nirsense Inc,3.9,,,,,Biomedical Data Scientist,"Richmond, VA",100K,120K,"$110,000",/yr (Employer est.)
Leidos,3.8,Aerospace & Defense,Aerospace & Defense,1969,$10+ billion (USD),HC Data Analyst - Senior,"Bethesda, MD",122K,221K,"$171,550",/yr (Employer est.)
Fidelity Investments,4.3,Financial Services,Investment & Asset Management,1946,$10+ billion (USD),Principal Data Scientist,"Durham, NC",113K,150K,"$129,926",/yr (Glassdoor est.)
Virta Health,3.0,Healthcare,Health Care Services & Hospitals,2014,$25 to $100 million (USD),Senior Data Scientist,Remote,165K,213K,"$189,043",/yr (Employer est.)
Guild Mortgage Company LLC,3.6,Financial Services,Banking & Lending,1960,Unknown / Non-Applicable,Senior Data Scientist,"San Diego, CA",112K,152K,"$131,860",/yr (Employer est.)
Imperative Care,2.9,Manufacturing,Health Care Products Manufacturing,2016,Unknown / Non-Applicable,Sr Data Analyst,Remote,118K,144K,"$130,950",/yr (Employer est.)
Magna International Inc.,3.8,Manufacturing,Transportation Equipment Manufacturing,1957,$10+ billion (USD),Data Scientist,"Lowell, MA",102K,145K,"$122,101",/yr (Glassdoor est.)
Cognizant Technology Solutions,3.8,Information Technology,Information Technology Support Services,1994,$10+ billion (USD),Sr. Data Scientist (Onsite),"Santa Clara, CA",160K,170K,"$165,000",/yr (Employer est.)
Akima,3.6,Aerospace & Defense,Aerospace & Defense,2003,$1 to $5 billion (USD),Data Visualization & Analysis SME,"Herndon, VA",89K,117K,"$101,701",/yr (Glassdoor est.)
"BI Pharmaceuticals, Inc.",4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1885,$10+ billion (USD),Clinical Data Scientist,"Ridgefield, CT",97K,136K,"$114,888",/yr (Glassdoor est.)
Deloitte,4.0,Management & Consulting,Business Consulting,1850,$10+ billion (USD),AI Advise Specialist Leader,"Rosslyn, VA",92K,134K,"$110,900",/yr (Glassdoor est.)
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Senior Data Scientist, Artificial General Intelligence","Bellevue, WA",127K,127K,"$127,300",/yr (Employer est.)
Honeywell,4.0,Information Technology,Computer Hardware Development,1885,$10+ billion (USD),Sr Advanced Data Scientist,"Kansas City, MO",89K,117K,"$101,965",/yr (Glassdoor est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Data Engineer, Legal","New York, NY",134K,204K,"$169,000",/yr (Employer est.)
Afterpay,3.6,Information Technology,Internet & Web Services,2014,$5 to $10 billion (USD),Decision Scientist - Dispute Automation,"San Francisco, CA",106K,155K,"$128,380",/yr (Glassdoor est.)
Samson Software Solution,3.6,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Spanish data Natural language understanding,"South San Francisco, CA",90K,120K,"$105,000",/yr (Employer est.)
Instabase,4.1,Information Technology,Enterprise Software & Network Solutions,2015,Unknown / Non-Applicable,"Senior Software Engineer, Deep Learning (AI)","New York, NY",185K,220K,"$202,500",/yr (Employer est.)
Paycom,3.5,Information Technology,Enterprise Software & Network Solutions,1998,$1 to $5 billion (USD),Sr. Data Scientist,"Oklahoma City, OK",90K,128K,"$107,099",/yr (Glassdoor est.)
CareGard Warranty Services,3.0,"Construction, Repair & Maintenance Services",Vehicle Repair & Maintenance,1984,Unknown / Non-Applicable,Senior Data Engineer,"Grapevine, TX",140K,165K,"$152,500",/yr (Employer est.)
BAXTER,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1931,$10+ billion (USD),Sr Data Analyst,"Deerfield, IL",80K,110K,"$95,000",/yr (Employer est.)
National Aeronautics and Space Administration (NASA),4.4,Government & Public Administration,National Agencies,1958,$10+ billion (USD),Big Data Mining and Artificial Intelligence in the Era of Large Astronomical Surveys,"Greenbelt, MD",94K,157K,"$121,436",/yr (Glassdoor est.)
Applied Materials,4.1,Manufacturing,Electronics Manufacturing,1967,$10+ billion (USD),Data Scientist III - (B3),"Santa Clara, CA",120K,165K,"$142,500",/yr (Employer est.)
Relentless Talent,3.9,,,,,"Senior Data Analyst: big data analytics platform, SaaS & 100% remote","Pittsburgh, PA",90K,100K,"$95,000",/yr (Employer est.)
Houston Methodist Academic Institute,4.3,Healthcare,Health Care Services & Hospitals,1919,Unknown / Non-Applicable,Research Data Scientist,"Houston, TX",76K,109K,"$91,029",/yr (Glassdoor est.)
U.S. Department of Justice,4.1,Government & Public Administration,National Agencies,1870,Unknown / Non-Applicable,Statistician,"Washington, DC",139K,181K,"$160,306",/yr (Employer est.)
Michelin,4.1,Manufacturing,Machinery Manufacturing,1889,$10+ billion (USD),Quality Data Scientist,"Greenville, SC",93K,122K,"$106,750",/yr (Glassdoor est.)
Citizens,3.6,Financial Services,Banking & Lending,1828,$5 to $10 billion (USD),Sr Data Scientist,"Boston, MA",110K,147K,"$127,373",/yr (Glassdoor est.)
Jackson Lewis,3.9,Legal,Legal,1958,$100 to $500 million (USD),Senior Statistician,"Madison, WI",80K,110K,"$93,472",/yr (Glassdoor est.)
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Data Scientist , AWS Workforce Planning","Seattle, WA",112K,112K,"$111,600",/yr (Employer est.)
OrangePeople,4.1,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD),Data Scientist IV,"Bell, CA",70.00,80.00,$75.00,/hr (Employer est.)
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994,$10+ billion (USD),"Software Dev Engineer II, AI Security","Seattle, WA",115K,115K,"$115,000",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),"Data Strategy Program Manager, VP","Plano, TX",81K,120K,"$98,495",/yr (Glassdoor est.)
Ipsos,3.5,Management & Consulting,Business Consulting,1975,$1 to $5 billion (USD),"Senior Data Analyst, Data Processing - Interactive Services","Chicago, IL",105K,115K,"$110,000",/yr (Employer est.)
"CommIT Enterprises, Inc",4.8,Information Technology,Information Technology Support Services,,$5 to $25 million (USD),Senior Data Analyst,"Indian Head, MD",74K,102K,"$86,551",/yr (Glassdoor est.)
Takeda Pharmaceutical,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1781,$10+ billion (USD),"Manager, Statistical Programmer","Lexington, MA",106K,139K,"$121,257",/yr (Glassdoor est.)
percipient.ai,4.0,Information Technology,Enterprise Software & Network Solutions,2017,Unknown / Non-Applicable,Senior Data Center Engineer,"Reston, VA",160K,200K,"$180,000",/yr (Employer est.)
SAP,4.3,Information Technology,Enterprise Software & Network Solutions,1972,$10+ billion (USD),Senior AI/ML Applied Scientist - Generative AI and Knowledge Graph,"Palo Alto, CA",160K,222K,"$188,548",/yr (Glassdoor est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Applied Scientist II,"New York, NY",94K,183K,"$138,450",/yr (Employer est.)
