employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
521,3.6,10,18,1986.0,0,125,88000.0,133000.0,108270.0,2,1,0,0,0,0,1,0
1198,3.1,10,45,1986.0,0,339,73000.0,112000.0,90413.0,2,1,0,0,0,0,1,0
76,3.7,23,3,1926.0,9,94,96000.0,131000.0,111969.0,2,1,0,0,0,0,1,0
836,4.0,5,49,1937.0,5,41,97000.0,122000.0,108677.0,2,1,0,0,0,0,1,0
358,4.4,13,12,1995.0,3,13,110000.0,145000.0,126313.0,3,1,0,0,0,0,1,0
116,2.9,24,77,1986.0,0,313,100000.0,110000.0,105000.0,1,0,1,0,0,0,1,0
927,5.0,13,12,2018.0,2,395,90000.0,130000.0,110000.0,3,0,1,0,1,0,0,0
260,3.7,24,77,1986.0,0,151,70000.0,90000.0,80000.0,2,0,1,0,0,0,1,0
77,3.7,2,4,1862.0,7,395,100000.0,130000.0,115000.0,2,0,1,0,0,0,1,0
14,3.8,24,77,1986.0,0,313,134400.0,153600.0,144000.0,2,0,1,0,0,0,1,0
181,4.1,10,45,1998.0,4,218,88000.0,127000.0,105326.0,3,1,0,0,0,0,1,0
961,4.3,3,16,1891.0,9,363,74000.0,97000.0,85500.0,3,0,1,0,0,0,1,0
601,4.4,9,39,2016.0,0,332,115200.0,124800.0,120000.0,3,0,1,0,1,0,0,0
1141,3.9,10,45,1986.0,2,361,78000.0,122000.0,97269.0,2,1,0,0,0,0,1,0
914,3.5,13,11,1929.0,7,338,93000.0,124000.0,107540.0,2,1,0,0,0,0,1,0
1010,4.0,24,77,1986.0,0,322,113000.0,143000.0,128000.0,2,0,1,0,0,0,1,0
33,4.3,10,18,1982.0,9,333,98000.0,196000.0,146700.0,3,0,1,0,0,0,1,0
31,3.6,15,1,2013.0,0,73,98000.0,108000.0,103000.0,2,0,1,0,1,0,0,0
321,3.0,10,45,2005.0,2,218,165000.0,165000.0,165000.0,1,0,1,0,0,0,1,0
282,4.2,6,56,2006.0,5,395,108000.0,151000.0,127503.0,3,1,0,0,0,0,1,0
397,4.2,10,30,2001.0,5,337,107000.0,159000.0,130064.0,3,1,0,0,0,0,1,0
243,4.0,10,30,2006.0,0,332,123000.0,231000.0,177000.0,2,0,1,0,0,0,1,0
885,4.6,10,30,1986.0,3,313,96000.0,134400.0,115200.0,3,0,1,0,0,0,1,0
42,3.4,24,77,1986.0,1,68,103000.0,124000.0,113505.0,2,0,1,0,0,0,1,0
507,4.9,10,45,2013.0,3,361,140000.0,180000.0,160000.0,3,0,1,0,0,0,1,0
1173,4.1,14,76,1955.0,9,211,76000.0,114000.0,92926.0,3,1,0,0,0,0,1,0
131,3.6,13,64,2002.0,5,322,89000.0,127000.0,106164.0,2,1,0,0,0,0,1,0
562,3.9,12,50,1958.0,5,158,80000.0,116000.0,96696.0,2,1,0,0,0,0,1,0
589,4.5,13,12,2007.0,4,161,66000.0,101000.0,81665.0,3,1,0,0,0,0,1,0
