employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
595,4.1,24,77,1986.0,0,171,125000.0,135000.0,3,0,1,0,0,0,1,0,130000.0
1101,4.2,3,16,1851.0,0,231,70000.0,78000.0,3,0,1,1,0,0,0,0,74000.0
928,3.8,14,33,1949.0,7,352,71000.0,106000.0,2,1,0,0,1,0,0,0,86750.0
699,4.6,10,18,1993.0,8,340,144000.0,270000.0,3,0,1,1,0,0,0,0,207125.0
627,3.6,10,18,2012.0,0,332,166000.0,211000.0,2,1,0,0,0,0,1,0,187493.0
169,4.2,13,12,1914.0,8,395,153000.0,285000.0,3,0,1,1,0,0,0,0,219200.0
929,3.9,10,45,1986.0,0,313,170000.0,210000.0,2,0,1,0,0,0,1,0,190000.0
13,3.6,24,77,1986.0,0,313,134400.0,153600.0,2,0,1,0,0,0,1,0,144000.0
937,3.0,24,77,1986.0,0,290,99000.0,126000.0,1,1,0,0,0,0,1,0,111388.0
798,4.4,14,21,1971.0,7,399,161000.0,241000.0,3,0,1,0,0,0,1,0,200900.0
218,2.6,24,77,1986.0,0,13,89000.0,135000.0,1,1,0,0,0,0,1,0,109582.0
148,3.7,3,16,1900.0,7,158,67000.0,101000.0,2,1,0,0,0,0,1,0,82146.0
934,4.0,13,12,2001.0,7,18,107000.0,142000.0,2,1,0,0,0,1,0,0,122958.0
1007,4.5,10,45,1995.0,5,66,87000.0,138000.0,3,1,0,0,0,0,1,0,109591.0
421,3.7,21,25,1969.0,9,332,246000.0,338000.0,2,0,1,1,0,0,0,0,291550.0
1069,3.1,6,56,1986.0,0,395,118000.0,153000.0,2,0,1,0,0,0,1,0,135658.0
699,4.6,10,18,1993.0,8,340,304000.0,460000.0,3,0,1,1,0,0,0,0,382000.0
703,4.4,6,56,1958.0,9,138,94000.0,157000.0,3,1,0,0,0,0,1,0,121436.0
817,3.3,14,51,1987.0,7,387,81000.0,119000.0,2,1,0,0,0,0,1,0,97873.0
356,4.1,15,1,2006.0,4,253,75000.0,75000.0,3,0,1,0,0,0,1,0,75000.0
792,3.5,10,30,1998.0,7,269,90000.0,127000.0,2,1,0,0,0,0,1,0,106868.0
316,4.0,13,12,1850.0,9,285,79000.0,111000.0,2,1,0,0,0,0,1,0,94108.0
504,4.2,10,45,1998.0,3,140,120960.0,128640.0,3,0,1,0,0,0,1,0,124800.0
196,3.1,7,41,1963.0,9,397,107000.0,206000.0,2,0,1,0,0,0,1,0,156303.0
495,4.6,24,77,1986.0,0,313,100000.0,150000.0,3,0,1,0,0,0,1,0,125000.0
930,4.7,10,18,2014.0,0,336,170000.0,215000.0,3,0,1,1,0,0,0,0,192500.0
1018,3.1,15,1,2001.0,5,371,107000.0,162000.0,2,0,1,0,0,0,1,0,134500.0
1057,4.1,10,30,2014.0,0,200,70000.0,85000.0,3,0,1,0,0,0,1,0,77500.0
98,4.2,10,18,1976.0,9,93,139000.0,257000.0,3,0,1,1,0,0,0,0,197700.0
603,3.88634903640257,24,77,1986.0,0,49,120000.0,163000.0,2,1,0,0,0,0,1,0,140107.0
1044,3.6,18,8,1902.0,9,58,62000.0,100000.0,2,1,0,1,0,0,0,0,78831.0
1140,3.7,5,49,1983.0,7,313,113000.0,150000.0,2,0,1,0,0,0,1,0,131500.0
1104,4.3,3,16,1883.0,7,18,70000.0,70000.0,3,0,1,0,0,0,1,0,70000.0
15,3.1,10,30,2018.0,0,385,175000.0,230000.0,2,0,1,1,0,0,0,0,202500.0
696,4.2,10,30,1986.0,2,15,91000.0,126000.0,3,1,0,0,0,0,1,0,107540.0
1052,3.7,13,12,1988.0,7,313,76000.0,182000.0,2,0,1,0,0,0,1,0,129200.0
811,3.3,11,47,2021.0,0,57,80000.0,105000.0,2,1,0,0,1,0,0,0,91662.0
365,3.9,5,6,2004.0,7,73,94000.0,139000.0,2,1,0,0,0,0,1,0,114200.0
482,4.1,10,18,1939.0,0,18,73000.0,113000.0,3,1,0,1,0,0,0,0,90946.0
